Visitor/Neutral,Home/Neutral,Date,Start (ET),PTS(Visitor),PTS(Home)
Houston Rockets,Los Angeles Lakers,Tue Oct 28 2014,10:30 pm,108,90
Orlando Magic,New Orleans Pelicans,Tue Oct 28 2014,8:00 pm,84,101
Dallas Mavericks,San Antonio Spurs,Tue Oct 28 2014,8:00 pm,100,101
Brooklyn Nets,Boston Celtics,Wed Oct 29 2014,7:30 pm,105,121
Milwaukee Bucks,Charlotte Hornets,Wed Oct 29 2014,7:00 pm,106,108
Detroit Pistons,Denver Nuggets,Wed Oct 29 2014,9:00 pm,79,89
Philadelphia 76ers,Indiana Pacers,Wed Oct 29 2014,7:00 pm,91,103
Minnesota Timberwolves,Memphis Grizzlies,Wed Oct 29 2014,8:00 pm,101,105
Washington Wizards,Miami Heat,Wed Oct 29 2014,7:30 pm,95,107
Chicago Bulls,New York Knicks,Wed Oct 29 2014,8:00 pm,104,80
Los Angeles Lakers,Phoenix Suns,Wed Oct 29 2014,10:00 pm,99,119
Oklahoma City Thunder,Portland Trail Blazers,Wed Oct 29 2014,10:30 pm,89,106
Golden State Warriors,Sacramento Kings,Wed Oct 29 2014,10:00 pm,95,77
Atlanta Hawks,Toronto Raptors,Wed Oct 29 2014,7:30 pm,102,109
Houston Rockets,Utah Jazz,Wed Oct 29 2014,9:00 pm,104,93
New York Knicks,Cleveland Cavaliers,Thu Oct 30 2014,8:00 pm,95,90
Utah Jazz,Dallas Mavericks,Thu Oct 30 2014,8:30 pm,102,120
Oklahoma City Thunder,Los Angeles Clippers,Thu Oct 30 2014,10:30 pm,90,93
Detroit Pistons,Minnesota Timberwolves,Thu Oct 30 2014,8:00 pm,91,97
Washington Wizards,Orlando Magic,Thu Oct 30 2014,7:00 pm,105,98
Cleveland Cavaliers,Chicago Bulls,Fri Oct 31 2014,8:00 pm,114,108
Memphis Grizzlies,Indiana Pacers,Fri Oct 31 2014,7:00 pm,97,89
Los Angeles Clippers,Los Angeles Lakers,Fri Oct 31 2014,10:30 pm,118,111
Philadelphia 76ers,Milwaukee Bucks,Fri Oct 31 2014,8:30 pm,81,93
San Antonio Spurs,Phoenix Suns,Fri Oct 31 2014,10:00 pm,89,94
Portland Trail Blazers,Sacramento Kings,Fri Oct 31 2014,10:00 pm,94,103
Indiana Pacers,Atlanta Hawks,Sat Nov 1 2014,7:30 pm,92,102
Memphis Grizzlies,Charlotte Hornets,Sat Nov 1 2014,7:00 pm,71,69
Brooklyn Nets,Detroit Pistons,Sat Nov 1 2014,7:30 pm,102,90
Los Angeles Lakers,Golden State Warriors,Sat Nov 1 2014,10:30 pm,104,127
Boston Celtics,Houston Rockets,Sat Nov 1 2014,8:00 pm,90,104
Chicago Bulls,Minnesota Timberwolves,Sat Nov 1 2014,8:00 pm,106,105
Dallas Mavericks,New Orleans Pelicans,Sat Nov 1 2014,7:00 pm,109,104
Denver Nuggets,Oklahoma City Thunder,Sat Nov 1 2014,8:00 pm,91,102
Toronto Raptors,Orlando Magic,Sat Nov 1 2014,7:00 pm,108,95
Miami Heat,Philadelphia 76ers,Sat Nov 1 2014,7:00 pm,114,96
Phoenix Suns,Utah Jazz,Sat Nov 1 2014,9:00 pm,91,118
Milwaukee Bucks,Washington Wizards,Sat Nov 1 2014,7:00 pm,97,108
Sacramento Kings,Los Angeles Clippers,Sun Nov 2 2014,3:30 pm,98,92
Toronto Raptors,Miami Heat,Sun Nov 2 2014,6:00 pm,102,107
Charlotte Hornets,New York Knicks,Sun Nov 2 2014,7:30 pm,93,96
Golden State Warriors,Portland Trail Blazers,Sun Nov 2 2014,9:00 pm,95,90
Oklahoma City Thunder,Brooklyn Nets,Mon Nov 3 2014,7:30 pm,85,116
Boston Celtics,Dallas Mavericks,Mon Nov 3 2014,8:30 pm,113,118
Sacramento Kings,Denver Nuggets,Mon Nov 3 2014,9:00 pm,110,105
Utah Jazz,Los Angeles Clippers,Mon Nov 3 2014,10:30 pm,101,107
New Orleans Pelicans,Memphis Grizzlies,Mon Nov 3 2014,8:00 pm,81,93
Houston Rockets,Philadelphia 76ers,Mon Nov 3 2014,7:00 pm,104,93
Orlando Magic,Chicago Bulls,Tue Nov 4 2014,8:00 pm,90,98
Milwaukee Bucks,Indiana Pacers,Tue Nov 4 2014,7:00 pm,87,81
Phoenix Suns,Los Angeles Lakers,Tue Nov 4 2014,10:30 pm,112,106
Houston Rockets,Miami Heat,Tue Nov 4 2014,7:30 pm,108,91
Charlotte Hornets,New Orleans Pelicans,Tue Nov 4 2014,8:00 pm,91,100
Washington Wizards,New York Knicks,Tue Nov 4 2014,7:30 pm,98,83
Cleveland Cavaliers,Portland Trail Blazers,Tue Nov 4 2014,10:00 pm,82,101
Oklahoma City Thunder,Toronto Raptors,Tue Nov 4 2014,7:30 pm,88,100
Toronto Raptors,Boston Celtics,Wed Nov 5 2014,7:30 pm,110,107
Minnesota Timberwolves,Brooklyn Nets,Wed Nov 5 2014,7:30 pm,98,91
Miami Heat,Charlotte Hornets,Wed Nov 5 2014,7:00 pm,89,96
New York Knicks,Detroit Pistons,Wed Nov 5 2014,7:30 pm,95,98
Los Angeles Clippers,Golden State Warriors,Wed Nov 5 2014,10:30 pm,104,121
Chicago Bulls,Milwaukee Bucks,Wed Nov 5 2014,8:00 pm,95,86
Orlando Magic,Philadelphia 76ers,Wed Nov 5 2014,7:00 pm,91,89
Memphis Grizzlies,Phoenix Suns,Wed Nov 5 2014,9:00 pm,102,91
Denver Nuggets,Sacramento Kings,Wed Nov 5 2014,10:00 pm,109,131
Atlanta Hawks,San Antonio Spurs,Wed Nov 5 2014,8:30 pm,92,94
Cleveland Cavaliers,Utah Jazz,Wed Nov 5 2014,9:00 pm,100,102
Indiana Pacers,Washington Wizards,Wed Nov 5 2014,8:00 pm,94,96
San Antonio Spurs,Houston Rockets,Thu Nov 6 2014,8:00 pm,81,98
Dallas Mavericks,Portland Trail Blazers,Thu Nov 6 2014,10:30 pm,87,108
Indiana Pacers,Boston Celtics,Fri Nov 7 2014,7:30 pm,98,101
New York Knicks,Brooklyn Nets,Fri Nov 7 2014,7:30 pm,99,110
Atlanta Hawks,Charlotte Hornets,Fri Nov 7 2014,7:00 pm,119,122
Cleveland Cavaliers,Denver Nuggets,Fri Nov 7 2014,10:30 pm,110,101
Milwaukee Bucks,Detroit Pistons,Fri Nov 7 2014,7:30 pm,95,98
Memphis Grizzlies,Oklahoma City Thunder,Fri Nov 7 2014,8:00 pm,91,89
Minnesota Timberwolves,Orlando Magic,Fri Nov 7 2014,7:00 pm,103,112
Chicago Bulls,Philadelphia 76ers,Fri Nov 7 2014,7:00 pm,118,115
Sacramento Kings,Phoenix Suns,Fri Nov 7 2014,9:00 pm,114,112
Washington Wizards,Toronto Raptors,Fri Nov 7 2014,7:30 pm,84,103
Dallas Mavericks,Utah Jazz,Fri Nov 7 2014,9:00 pm,105,82
New York Knicks,Atlanta Hawks,Sat Nov 8 2014,7:30 pm,96,103
Boston Celtics,Chicago Bulls,Sat Nov 8 2014,8:00 pm,106,101
Golden State Warriors,Houston Rockets,Sat Nov 8 2014,8:00 pm,98,87
Washington Wizards,Indiana Pacers,Sat Nov 8 2014,7:00 pm,97,90
Portland Trail Blazers,Los Angeles Clippers,Sat Nov 8 2014,3:30 pm,102,106
Minnesota Timberwolves,Miami Heat,Sat Nov 8 2014,7:30 pm,92,102
Memphis Grizzlies,Milwaukee Bucks,Sat Nov 8 2014,8:30 pm,92,93
New Orleans Pelicans,San Antonio Spurs,Sat Nov 8 2014,8:30 pm,100,99
Orlando Magic,Brooklyn Nets,Sun Nov 9 2014,3:30 pm,96,104
Miami Heat,Dallas Mavericks,Sun Nov 9 2014,7:30 pm,105,96
Utah Jazz,Detroit Pistons,Sun Nov 9 2014,6:00 pm,97,96
Charlotte Hornets,Los Angeles Lakers,Sun Nov 9 2014,9:30 pm,92,107
Sacramento Kings,Oklahoma City Thunder,Sun Nov 9 2014,7:00 pm,93,101
Golden State Warriors,Phoenix Suns,Sun Nov 9 2014,8:00 pm,95,107
Denver Nuggets,Portland Trail Blazers,Sun Nov 9 2014,9:00 pm,100,116
Philadelphia 76ers,Toronto Raptors,Sun Nov 9 2014,7:00 pm,88,120
Detroit Pistons,Chicago Bulls,Mon Nov 10 2014,8:00 pm,91,102
New Orleans Pelicans,Cleveland Cavaliers,Mon Nov 10 2014,7:00 pm,111,118
Utah Jazz,Indiana Pacers,Mon Nov 10 2014,7:00 pm,86,97
San Antonio Spurs,Los Angeles Clippers,Mon Nov 10 2014,10:30 pm,89,85
Atlanta Hawks,New York Knicks,Mon Nov 10 2014,7:30 pm,91,85
Sacramento Kings,Dallas Mavericks,Tue Nov 11 2014,8:30 pm,98,106
San Antonio Spurs,Golden State Warriors,Tue Nov 11 2014,10:30 pm,113,100
Los Angeles Lakers,Memphis Grizzlies,Tue Nov 11 2014,8:00 pm,102,107
Oklahoma City Thunder,Milwaukee Bucks,Tue Nov 11 2014,8:00 pm,78,85
Charlotte Hornets,Portland Trail Blazers,Tue Nov 11 2014,10:00 pm,100,102
Orlando Magic,Toronto Raptors,Tue Nov 11 2014,7:30 pm,100,104
Utah Jazz,Atlanta Hawks,Wed Nov 12 2014,7:30 pm,97,100
Oklahoma City Thunder,Boston Celtics,Wed Nov 12 2014,7:30 pm,109,94
Portland Trail Blazers,Denver Nuggets,Wed Nov 12 2014,9:00 pm,130,113
Indiana Pacers,Miami Heat,Wed Nov 12 2014,7:30 pm,81,75
Houston Rockets,Minnesota Timberwolves,Wed Nov 12 2014,10:00 pm,113,101
Los Angeles Lakers,New Orleans Pelicans,Wed Nov 12 2014,8:00 pm,102,109
Orlando Magic,New York Knicks,Wed Nov 12 2014,7:30 pm,97,95
Brooklyn Nets,Phoenix Suns,Wed Nov 12 2014,9:00 pm,104,112
Detroit Pistons,Washington Wizards,Wed Nov 12 2014,7:00 pm,103,107
Philadelphia 76ers,Dallas Mavericks,Thu Nov 13 2014,8:30 pm,70,123
Brooklyn Nets,Golden State Warriors,Thu Nov 13 2014,10:30 pm,99,107
Sacramento Kings,Memphis Grizzlies,Thu Nov 13 2014,8:00 pm,110,111
Chicago Bulls,Toronto Raptors,Thu Nov 13 2014,8:00 pm,100,93
Miami Heat,Atlanta Hawks,Fri Nov 14 2014,7:30 pm,103,114
Cleveland Cavaliers,Boston Celtics,Fri Nov 14 2014,7:30 pm,122,121
Philadelphia 76ers,Houston Rockets,Fri Nov 14 2014,8:00 pm,87,88
Denver Nuggets,Indiana Pacers,Fri Nov 14 2014,7:00 pm,108,87
San Antonio Spurs,Los Angeles Lakers,Fri Nov 14 2014,10:00 pm,93,80
Minnesota Timberwolves,New Orleans Pelicans,Fri Nov 14 2014,8:00 pm,91,139
Utah Jazz,New York Knicks,Fri Nov 14 2014,7:30 pm,102,100
Detroit Pistons,Oklahoma City Thunder,Fri Nov 14 2014,8:00 pm,96,89
Milwaukee Bucks,Orlando Magic,Fri Nov 14 2014,7:00 pm,85,101
Charlotte Hornets,Phoenix Suns,Fri Nov 14 2014,9:00 pm,103,95
Indiana Pacers,Chicago Bulls,Sat Nov 15 2014,8:00 pm,99,90
Atlanta Hawks,Cleveland Cavaliers,Sat Nov 15 2014,7:30 pm,94,127
Minnesota Timberwolves,Dallas Mavericks,Sat Nov 15 2014,8:30 pm,117,131
Charlotte Hornets,Golden State Warriors,Sat Nov 15 2014,10:30 pm,87,112
Phoenix Suns,Los Angeles Clippers,Sat Nov 15 2014,10:30 pm,107,120
Detroit Pistons,Memphis Grizzlies,Sat Nov 15 2014,8:00 pm,88,95
Brooklyn Nets,Portland Trail Blazers,Sat Nov 15 2014,10:00 pm,87,97
San Antonio Spurs,Sacramento Kings,Sat Nov 15 2014,10:00 pm,91,94
Utah Jazz,Toronto Raptors,Sat Nov 15 2014,7:30 pm,93,111
Orlando Magic,Washington Wizards,Sat Nov 15 2014,7:00 pm,93,98
Golden State Warriors,Los Angeles Lakers,Sun Nov 16 2014,9:30 pm,136,115
Milwaukee Bucks,Miami Heat,Sun Nov 16 2014,6:00 pm,91,84
Denver Nuggets,New York Knicks,Sun Nov 16 2014,1:00 pm,93,109
Houston Rockets,Oklahoma City Thunder,Sun Nov 16 2014,7:00 pm,69,65
Phoenix Suns,Boston Celtics,Mon Nov 17 2014,7:30 pm,118,114
Miami Heat,Brooklyn Nets,Mon Nov 17 2014,7:30 pm,95,83
Dallas Mavericks,Charlotte Hornets,Mon Nov 17 2014,7:00 pm,107,80
Denver Nuggets,Cleveland Cavaliers,Mon Nov 17 2014,7:00 pm,106,97
Orlando Magic,Detroit Pistons,Mon Nov 17 2014,7:30 pm,107,93
Chicago Bulls,Los Angeles Clippers,Mon Nov 17 2014,10:30 pm,105,89
Houston Rockets,Memphis Grizzlies,Mon Nov 17 2014,8:00 pm,93,119
New Orleans Pelicans,Portland Trail Blazers,Mon Nov 17 2014,10:00 pm,93,102
Philadelphia 76ers,San Antonio Spurs,Mon Nov 17 2014,8:30 pm,75,100
Los Angeles Lakers,Atlanta Hawks,Tue Nov 18 2014,7:30 pm,114,109
New York Knicks,Milwaukee Bucks,Tue Nov 18 2014,8:00 pm,113,117
New Orleans Pelicans,Sacramento Kings,Tue Nov 18 2014,10:00 pm,106,100
