Visitor/Neutral,Home/Neutral,Date,Start (ET),PTS,PTS
Boston Celtics,Cleveland Cavaliers,Tue Oct 17 2017,8:01 pm,99,102
Houston Rockets,Golden State Warriors,Tue Oct 17 2017,10:30 pm,122,121
Milwaukee Bucks,Boston Celtics,Wed Oct 18 2017,7:30 pm,108,100
Atlanta Hawks,Dallas Mavericks,Wed Oct 18 2017,8:30 pm,117,111
Charlotte Hornets,Detroit Pistons,Wed Oct 18 2017,7:00 pm,90,102
Brooklyn Nets,Indiana Pacers,Wed Oct 18 2017,7:00 pm,131,140
New Orleans Pelicans,Memphis Grizzlies,Wed Oct 18 2017,8:00 pm,91,103
Miami Heat,Orlando Magic,Wed Oct 18 2017,7:00 pm,109,116
Portland Trail Blazers,Phoenix Suns,Wed Oct 18 2017,10:00 pm,124,76
Houston Rockets,Sacramento Kings,Wed Oct 18 2017,10:00 pm,105,100
Minnesota Timberwolves,San Antonio Spurs,Wed Oct 18 2017,9:30 pm,99,107
Denver Nuggets,Utah Jazz,Wed Oct 18 2017,9:00 pm,96,106
Philadelphia 76ers,Washington Wizards,Wed Oct 18 2017,7:00 pm,115,120
Los Angeles Clippers,Los Angeles Lakers,Thu Oct 19 2017,10:30 pm,108,92
New York Knicks,Oklahoma City Thunder,Thu Oct 19 2017,8:00 pm,84,105
Chicago Bulls,Toronto Raptors,Thu Oct 19 2017,7:30 pm,100,117
Orlando Magic,Brooklyn Nets,Fri Oct 20 2017,7:30 pm,121,126
Atlanta Hawks,Charlotte Hornets,Fri Oct 20 2017,7:00 pm,91,109
Sacramento Kings,Dallas Mavericks,Fri Oct 20 2017,8:30 pm,93,88
Portland Trail Blazers,Indiana Pacers,Fri Oct 20 2017,7:00 pm,114,96
Cleveland Cavaliers,Milwaukee Bucks,Fri Oct 20 2017,7:00 pm,116,97
Utah Jazz,Minnesota Timberwolves,Fri Oct 20 2017,8:00 pm,97,100
Golden State Warriors,New Orleans Pelicans,Fri Oct 20 2017,9:30 pm,128,120
Boston Celtics,Philadelphia 76ers,Fri Oct 20 2017,7:00 pm,102,92
Los Angeles Lakers,Phoenix Suns,Fri Oct 20 2017,10:00 pm,132,130
Detroit Pistons,Washington Wizards,Fri Oct 20 2017,7:00 pm,111,115
San Antonio Spurs,Chicago Bulls,Sat Oct 21 2017,8:00 pm,87,77
Orlando Magic,Cleveland Cavaliers,Sat Oct 21 2017,8:00 pm,114,93
Sacramento Kings,Denver Nuggets,Sat Oct 21 2017,9:00 pm,79,96
Dallas Mavericks,Houston Rockets,Sat Oct 21 2017,8:00 pm,91,107
Phoenix Suns,Los Angeles Clippers,Sat Oct 21 2017,10:30 pm,88,130
Golden State Warriors,Memphis Grizzlies,Sat Oct 21 2017,8:00 pm,101,111
Indiana Pacers,Miami Heat,Sat Oct 21 2017,8:00 pm,108,112
Portland Trail Blazers,Milwaukee Bucks,Sat Oct 21 2017,8:30 pm,110,113
Detroit Pistons,New York Knicks,Sat Oct 21 2017,8:00 pm,111,107
Philadelphia 76ers,Toronto Raptors,Sat Oct 21 2017,7:30 pm,94,128
Oklahoma City Thunder,Utah Jazz,Sat Oct 21 2017,9:00 pm,87,96
Atlanta Hawks,Brooklyn Nets,Sun Oct 22 2017,3:30 pm,104,116
New Orleans Pelicans,Los Angeles Lakers,Sun Oct 22 2017,9:30 pm,119,112
Minnesota Timberwolves,Oklahoma City Thunder,Sun Oct 22 2017,7:00 pm,115,113
Golden State Warriors,Dallas Mavericks,Mon Oct 23 2017,8:30 pm,133,103
Washington Wizards,Denver Nuggets,Mon Oct 23 2017,9:00 pm,109,104
Philadelphia 76ers,Detroit Pistons,Mon Oct 23 2017,7:00 pm,97,86
Memphis Grizzlies,Houston Rockets,Mon Oct 23 2017,8:00 pm,98,90
Atlanta Hawks,Miami Heat,Mon Oct 23 2017,7:30 pm,93,104
Charlotte Hornets,Milwaukee Bucks,Mon Oct 23 2017,8:00 pm,94,103
Sacramento Kings,Phoenix Suns,Mon Oct 23 2017,10:00 pm,115,117
Toronto Raptors,San Antonio Spurs,Mon Oct 23 2017,8:30 pm,97,101
New York Knicks,Boston Celtics,Tue Oct 24 2017,7:30 pm,89,110
Chicago Bulls,Cleveland Cavaliers,Tue Oct 24 2017,7:00 pm,112,119
Utah Jazz,Los Angeles Clippers,Tue Oct 24 2017,10:30 pm,84,102
Indiana Pacers,Minnesota Timberwolves,Tue Oct 24 2017,8:00 pm,130,107
Brooklyn Nets,Orlando Magic,Tue Oct 24 2017,7:00 pm,121,125
New Orleans Pelicans,Portland Trail Blazers,Tue Oct 24 2017,10:00 pm,93,103
Cleveland Cavaliers,Brooklyn Nets,Wed Oct 25 2017,7:30 pm,107,112
Denver Nuggets,Charlotte Hornets,Wed Oct 25 2017,7:00 pm,93,110
Memphis Grizzlies,Dallas Mavericks,Wed Oct 25 2017,8:30 pm,94,103
Minnesota Timberwolves,Detroit Pistons,Wed Oct 25 2017,7:00 pm,101,122
Toronto Raptors,Golden State Warriors,Wed Oct 25 2017,10:30 pm,112,117
Washington Wizards,Los Angeles Lakers,Wed Oct 25 2017,10:30 pm,99,102
San Antonio Spurs,Miami Heat,Wed Oct 25 2017,8:00 pm,117,100
Indiana Pacers,Oklahoma City Thunder,Wed Oct 25 2017,8:00 pm,96,114
Houston Rockets,Philadelphia 76ers,Wed Oct 25 2017,7:00 pm,105,104
Utah Jazz,Phoenix Suns,Wed Oct 25 2017,10:00 pm,88,97
Atlanta Hawks,Chicago Bulls,Thu Oct 26 2017,8:00 pm,86,91
Dallas Mavericks,Memphis Grizzlies,Thu Oct 26 2017,8:00 pm,91,96
Boston Celtics,Milwaukee Bucks,Thu Oct 26 2017,8:00 pm,96,89
Los Angeles Clippers,Portland Trail Blazers,Thu Oct 26 2017,10:00 pm,104,103
New Orleans Pelicans,Sacramento Kings,Thu Oct 26 2017,10:30 pm,114,106
Denver Nuggets,Atlanta Hawks,Fri Oct 27 2017,7:30 pm,105,100
Houston Rockets,Charlotte Hornets,Fri Oct 27 2017,7:00 pm,109,93
Washington Wizards,Golden State Warriors,Fri Oct 27 2017,10:30 pm,117,120
Toronto Raptors,Los Angeles Lakers,Fri Oct 27 2017,10:30 pm,101,92
Oklahoma City Thunder,Minnesota Timberwolves,Fri Oct 27 2017,8:00 pm,116,119
Brooklyn Nets,New York Knicks,Fri Oct 27 2017,7:30 pm,86,107
San Antonio Spurs,Orlando Magic,Fri Oct 27 2017,7:00 pm,87,114
Oklahoma City Thunder,Chicago Bulls,Sat Oct 28 2017,8:00 pm,101,69
Philadelphia 76ers,Dallas Mavericks,Sat Oct 28 2017,8:30 pm,112,110
Detroit Pistons,Los Angeles Clippers,Sat Oct 28 2017,10:30 pm,95,87
Houston Rockets,Memphis Grizzlies,Sat Oct 28 2017,8:00 pm,89,103
Boston Celtics,Miami Heat,Sat Oct 28 2017,8:00 pm,96,90
Cleveland Cavaliers,New Orleans Pelicans,Sat Oct 28 2017,7:00 pm,101,123
Phoenix Suns,Portland Trail Blazers,Sat Oct 28 2017,10:00 pm,107,114
Los Angeles Lakers,Utah Jazz,Sat Oct 28 2017,9:00 pm,81,96
Milwaukee Bucks,Atlanta Hawks,Sun Oct 29 2017,3:30 pm,117,106
Denver Nuggets,Brooklyn Nets,Sun Oct 29 2017,6:00 pm,124,111
Orlando Magic,Charlotte Hornets,Sun Oct 29 2017,6:00 pm,113,120
New York Knicks,Cleveland Cavaliers,Sun Oct 29 2017,7:00 pm,114,95
Detroit Pistons,Golden State Warriors,Sun Oct 29 2017,8:30 pm,115,107
San Antonio Spurs,Indiana Pacers,Sun Oct 29 2017,4:30 pm,94,97
Washington Wizards,Sacramento Kings,Sun Oct 29 2017,6:00 pm,110,83
San Antonio Spurs,Boston Celtics,Mon Oct 30 2017,7:30 pm,94,108
Philadelphia 76ers,Houston Rockets,Mon Oct 30 2017,8:00 pm,115,107
Golden State Warriors,Los Angeles Clippers,Mon Oct 30 2017,10:30 pm,141,113
Charlotte Hornets,Memphis Grizzlies,Mon Oct 30 2017,8:00 pm,104,99
Minnesota Timberwolves,Miami Heat,Mon Oct 30 2017,7:30 pm,125,122
Orlando Magic,New Orleans Pelicans,Mon Oct 30 2017,8:00 pm,115,99
Denver Nuggets,New York Knicks,Mon Oct 30 2017,7:30 pm,110,116
Toronto Raptors,Portland Trail Blazers,Mon Oct 30 2017,10:00 pm,99,85
Dallas Mavericks,Utah Jazz,Mon Oct 30 2017,9:00 pm,89,104
Phoenix Suns,Brooklyn Nets,Tue Oct 31 2017,7:30 pm,122,114
Sacramento Kings,Indiana Pacers,Tue Oct 31 2017,7:00 pm,83,101
Detroit Pistons,Los Angeles Lakers,Tue Oct 31 2017,10:30 pm,93,113
